A_Fname,A_Lname,A_Street,A_City,A_State,A_Zipcode,A_Phone,A_Email,ListId
Lucas,Gray,,,,,444-0888-33,l.gray@randatmail.com,
Ted,Scott,,,,,632-4371-35,t.scott@randatmail.com,
Tony,Stevens,,,,,695-8804-04,t.stevens@randatmail.com,
Myra,Smith,,,,,987-2183-43,m.smith@randatmail.com,
Alissa,Hawkins,,,,,713-8980-45,a.hawkins@randatmail.com,
Carlos,Barnes,,,,,865-6039-25,c.barnes@randatmail.com,
Walter,Smith,,,,,663-1153-55,w.smith@randatmail.com,
Lydia,Richardson,,,,,869-1396-80,l.richardson@randatmail.com,
Elise,Wright,,,,,873-8065-51,e.wright@randatmail.com,
Justin,Perkins,,,,,252-2964-95,j.perkins@randatmail.com,
Natalie,Cole,,,,,324-4493-27,n.cole@randatmail.com,
Lenny,Jones,,,,,577-1399-57,l.jones@randatmail.com,
Miranda,Payne,,,,,548-4802-70,m.payne@randatmail.com,
Alisa,Myers,,,,,438-5064-20,a.myers@randatmail.com,
Daryl,Hawkins,,,,,421-1595-37,d.hawkins@randatmail.com,
Ted,Russell,,,,,882-6569-96,t.russell@randatmail.com,
Max,Dixon,,,,,422-5480-05,m.dixon@randatmail.com,
Harold,Turner,,,,,704-8959-67,h.turner@randatmail.com,
John,Brooks,,,,,186-8198-01,j.brooks@randatmail.com,
Maya,Hamilton,,,,,790-1244-29,m.hamilton@randatmail.com,
Sawyer,Hunt,,,,,281-0331-21,s.hunt@randatmail.com,
Nicholas,Foster,,,,,074-5381-66,n.foster@randatmail.com,
Isabella,Craig,,,,,352-3174-57,i.craig@randatmail.com,
Amy,Thomas,,,,,829-6009-29,a.thomas@randatmail.com,
Sofia,Allen,,,,,886-4013-56,s.allen@randatmail.com,
Brooke,Allen,,,,,865-8520-09,b.allen@randatmail.com,
Abigail,Foster,,,,,460-5733-47,a.foster@randatmail.com,
Jared,Russell,,,,,989-7828-06,j.russell@randatmail.com,
Clark,Richards,,,,,523-0784-36,c.richards@randatmail.com,
Daisy,Chapman,,,,,977-1058-69,d.chapman@randatmail.com,
Justin,Evans,,,,,476-8122-38,j.evans@randatmail.com,
Lyndon,Myers,,,,,702-7384-01,l.myers@randatmail.com,
Maya,Wright,,,,,861-6657-46,m.wright@randatmail.com,
Victoria,Smith,,,,,527-9105-62,v.smith@randatmail.com,
Olivia,Higgins,,,,,275-3740-11,o.higgins@randatmail.com,
Sofia,Hamilton,,,,,295-9082-23,s.hamilton@randatmail.com,
Nicole,Evans,,,,,771-6412-40,n.evans@randatmail.com,
Annabella,Hall,,,,,827-8625-42,a.hall@randatmail.com,
Cherry,Johnston,,,,,999-2342-55,c.johnston@randatmail.com,
Elian,Mason,,,,,642-4622-42,e.mason@randatmail.com,
Miranda,Mitchell,,,,,914-0890-72,m.mitchell@randatmail.com,
Abigail,Murphy,,,,,659-4813-76,a.murphy@randatmail.com,
Honey,Tucker,,,,,822-2216-87,h.tucker@randatmail.com,
Eleanor,Grant,,,,,127-2373-22,e.grant@randatmail.com,
Lily,Jones,,,,,772-0267-29,l.jones@randatmail.com,
Jack,Ross,,,,,090-4119-00,j.ross@randatmail.com,
Dainton,Smith,,,,,089-7778-39,d.smith@randatmail.com,
Brooke,Edwards,,,,,853-0626-36,b.edwards@randatmail.com,
Haris,Roberts,,,,,310-5993-18,h.roberts@randatmail.com,
Andrew,Robinson,,,,,273-0866-87,a.robinson@randatmail.com,
